Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Diabetes
Asparagus Cooked,0,1,1,0,22,0.2,2.4,0.91,23.0,14,224.0,4.1,2.0,0,1.3,0
Brocolli,0,1,1,0,25,0.5,3.8,1.27,118.0,56,343.0,3.1,2.8,0,0.6,0
Cauliflower,0,1,1,0,32,0.3,3.0,0.72,32.0,259,278.0,6.3,3.3,0,0.0,0
Cashew Nuts,1,0,0,0,553,44.0,18.0,6.68,37.0,12,660.0,30.0,3.3,0,5.9,0
Onions,0,1,1,0,40,0.1,1.1,0.21,23.0,4,146.0,9.3,1.7,0,4.2,0
Pumpkin,0,1,1,0,18,0.1,0.7,0.57,15.0,237,230.0,4.3,1.1,0,2.1,0
Tuna Salad,0,1,1,1,187,9.3,16.0,1.0,17.0,402,178.0,9.4,0.0,0,0.0,0
Tuna Fish,0,0,1,1,184,6.3,30.0,1.31,10.0,50,323.0,0.0,0.0,0,0.0,0
Idli,1,0,1,0,156,1.7,5.0,17.2,4.0,207,63.0,30.2,2.1,0,0.74,0
Chappati,1,1,1,0,297,7.5,11.0,3.01,93.0,409,266.0,46.0,4.9,0,2.7,0
Tomato,1,1,1,0,16,0.2,1.2,0.47,5.0,42,212.0,3.2,0.9,0,2.63,0
Yogurt,1,1,1,0,60,4.0,3.1,0.08,183.0,70,234.0,7.0,0.0,1,7.0,0
Almonds,1,0,0,0,579,50.0,21.0,3.71,269.0,1,733.0,22.0,13.0,0,4.4,0
Mushrooms,1,1,1,0,22,0.3,3.1,0.5,3.0,5,318.0,3.3,1.0,7,2.0,0
Egg Yolk cooked,1,1,0,1,196,15.0,14.0,1.89,62.0,207,152.0,0.8,0.0,88,0.4,0
Chia seeds,1,0,0,0,486,31.0,17.0,7.72,631.0,16,407.0,42.0,34.0,0,0.0,0
Salmon,0,1,1,1,127,4.4,21.0,0.38,7.0,75,366.0,0.0,0.0,435,0.0,0
Beans,0,1,1,0,31,0.2,1.8,1.03,37.0,6,211.0,7.0,2.7,0,3.3,0
Lentils,0,1,1,0,101,0.5,8.8,3.1,14.0,246,284.0,21.0,0.0,0,0.0,0
Tea,1,0,1,0,1,0.0,0.0,0.08,2.0,1,9.0,0.2,0.0,0,0.0,0
Apples,1,0,0,0,52,0.2,0.3,0.12,6.0,1,107.0,14.0,24.0,0,10.0,0
Strawberries,1,0,0,0,32,0.3,0.7,0.41,16.0,1,153.0,7.7,2.0,0,4.9,0
Quninoa,1,1,0,0,120,1.9,4.4,1.49,17.0,7,172.0,21.0,2.8,0,0.9,0
Goat meat,0,1,1,1,109,2.3,21.0,2.83,13.0,82,385.0,57.0,0.0,0,0.0,0
Rabbit meat,0,1,1,1,114,2.3,22.0,3.2,12.0,50,378.0,0.0,0.0,0,0.0,0
Pork cooked,0,0,1,1,297,21.0,26.0,1.29,22.0,73,362.0,0.0,0.0,0,0.0,0
Turkey cooked,0,1,1,1,203,10.0,27.0,1.52,28.0,78,294.0,0.0,0.0,8,0.0,0
