Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Diabetes
Asparagus Cooked,0,1,1,0,22,0.2,2.4,0.91,23,14,224,4.1,2,0,1.3,0
Bananas,1,0,0,0,89,0.3,1.1,0.26,5,1,358,23,2.6,0,12,1
Brocolli,0,1,1,0,25,0.5,3.8,1.27,118,56,343,3.1,2.8,0,0.6,0
Brown Rice,0,1,1,0,362,2.7,7.5,1.8,33,4,268,76,3.4,0,0,1
Cauliflower,0,1,1,0,32,0.3,3,0.72,32,259,278,6.3,3.3,0,0,0
Coffee,1,0,0,0,2,0,0.3,0.02,2,1,50,0.2,0,0,0,1
Corn,1,1,1,0,97,1.4,3.3,0.55,2,253,3.3,22,2.7,0,7.7,1
Dark chocolates,0,0,1,0,556,32,5.5,2.13,30,6,502,60,6.5,0,48,1
Grapes,1,0,0,0,93,2.1,5.6,2.63,363,9,272,17,11,0,6.3,1
Milk,1,0,1,0,97,6.9,3.8,0.12,169,52,178,5.2,0,0,0,1
Cashew Nuts,1,0,0,0,553,44,18,6.68,37,12,660,30,3.3,0,5.9,0
Onions,0,1,1,0,40,0.1,1.1,0.21,23,4,146,9.3,1.7,0,4.2,0
Orange,1,0,0,0,97,0.2,1.5,0.8,161,3,212,25,11,0,0,1
Pears,1,0,0,0,57,0.1,0.4,0.18,9,1,116,15,3.1,0,9.8,1
Peas,0,1,1,0,81,0.4,5.4,1.47,25,5,244,14,5.7,0,5.7,1
Pumpkin,0,1,1,0,18,0.1,0.7,0.57,15,237,230,4.3,1.1,0,2.1,0
Tuna Salad,0,1,1,1,187,9.3,16,1,17,402,178,9.4,0,0,0,0
Tuna Fish,0,0,1,1,184,6.3,30,1.31,10,50,323,0,0,0,0,0
Dosa,1,0,1,0,168,3.7,4.5,8,0.7,94,76,29,0.9,0,0.1,1
Idli,1,0,1,0,156,1.7,5,17.2,4,207,63,30.2,2.1,0,0.74,0
Chappati,1,1,1,0,297,7.5,11,3.01,93,409,266,46,4.9,0,2.7,0
Tomato,1,1,1,0,16,0.2,1.2,0.47,5,42,212,3.2,0.9,0,2.63,0
Yogurt,1,1,1,0,60,4,3.1,0.08,183,70,234,7,0,1,7,0
Uttapam,1,0,1,0,188,7.2,4.4,24,6.4,522,91,26.4,2.2,0,0.24,1
Bhaji Pav,1,0,0,0,151,2.4,9,37.4,3.4,438,180,29.3,1,0,1.35,1
Almonds,1,0,0,0,579,50,21,3.71,269,1,733,22,13,0,4.4,0
Mushrooms,1,1,1,0,22,0.3,3.1,0.5,3,5,318,3.3,1,7,2,0
Egg Yolk cooked,1,1,0,1,196,15,14,1.89,62,207,152,0.8,0,88,0.4,0
Sweet Potatoes cooked,1,1,0,0,76,0.1,1.4,0.72,27,27,230,18,2.5,0,5.7,1
Boiled Potatoes,1,1,1,0,87,0.1,1.9,0.31,5,240,379,20,2,0,0.9,1
White Rice,0,1,1,0,360,0.6,6.6,4.36,9,1,86,79,1.4,0,0,1
Orange juice,1,1,0,0,45,0.2,0.7,0.2,11,1,200,10,0.2,0,8.4,1
Chia seeds,1,0,0,0,486,31,17,7.72,631,16,407,42,34,0,0,0
Salmon,0,1,1,1,127,4.4,21,0.38,7,75,366,0,0,435,0,0
Beans,0,1,1,0,31,0.2,1.8,1.03,37,6,211,7,2.7,0,3.3,0
Lentils,0,1,1,0,101,0.5,8.8,3.1,14,246,284,21,0,0,0,0
Tea,1,0,1,0,1,0,0,0.08,2,1,9,0.2,0,0,0,0
Apples,1,0,0,0,52,0.2,0.3,0.12,6,1,107,14,24,0,10,0
Strawberries,1,0,0,0,32,0.3,0.7,0.41,16,1,153,7.7,2,0,4.9,0
Quninoa,1,1,0,0,120,1.9,4.4,1.49,17,7,172,21,2.8,0,0.9,0
Goat meat,0,1,1,1,109,2.3,21,2.83,13,82,385,57,0,0,0,0
Rabbit meat,0,1,1,1,114,2.3,22,3.2,12,50,378,0,0,0,0,0
Chicken Strips,0,0,1,1,295,15,19,0.72,11,798,334,22,1.1,0,0.3,1
Fried Shrimp,0,0,1,1,319,20,14,1.54,47,1400,128,21,1.5,0,0.8,1
Pork cooked,0,0,1,1,297,21,26,1.29,22,73,362,0,0,0,0,0
Bacon cooked,0,0,1,1,146,2.8,28,0.56,7,993,999,1.8,0,0,1.2,1
Chicken Popcorn,0,1,1,1,351,22,18,1.42,32,1140,288,21,1,0,0,1
Turkey cooked,0,1,1,1,203,10,27,1.52,28,78,294,0,0,8,0,0
Oyster cooked,0,1,1,1,159,4,29,4.9,6,81,409,0,0,0,0,0
Beef sticks,1,0,0,1,550,50,22,3.4,68,1531,257,5.4,0,0,0,1
Banana Chips,1,0,0,0,519,34,2.3,1.25,18,6,536,58,7.7,0,35,1
Honey,1,0,1,0,304,0,0.3,0.42,6,4,52,82,0.2,0,82,1
Chocolate Icecream,0,0,1,0,216,11,3.8,0.93,109,76,249,28,1.2,0,25,0
Vanilla Ice cream,0,0,1,0,207,11,3.5,0.09,128,80,199,24,0.7,0,21,0
Strawberry Icecream,0,0,1,0,192,8.4,3.2,0.21,120,60,188,28,0.9,0,0,0
Chocolate milk,1,0,0,0,535,30,7.7,2.35,189,79,372,59,3.4,0,52,1
Rice Pudding,0,0,1,0,376,0.1,2.7,1.79,14,366,5,91,0.7,0,0,1
Idli,1,0,1,0,150,1.2,6,1.5,30,240,60,30,1.8,0,0.3,0
Dosa,1,0,1,0,300,3,9,2,50,600,300,60,3,0,0,1
Uttapam,1,0,1,0,300,6,12,2,100,900,450,54,3,0,2,1
Pongal,1,0,0,0,600,15,12,3,100,900,300,100,5,0,2,1
Vada,1,0,0,0,250,15,4,2,20,800,50,25,2,0,1,1
Upma,1,0,1,0,450,10,9,2,100,900,300,75,6,0,1,0
Rava Idli,1,0,1,0,300,6,9,2,150,900,120,54,3,0,2,1
Masala Dosa,1,0,1,0,750,18,15,3,200,1200,450,135,10,0,2,0
Set Dosa,1,0,1,0,120,3,3,2,20,150,30,20,2,0,1,1
Neer Dosa,1,0,1,0,350,9,9,2,20,400,100,60,3,0,1,0
Appam,1,0,1,0,300,6,5,2,30,400,100,60,2,0,1,1
Puttu,1,0,1,0,200,4,6,2,30,300,200,40,3,0,1,1
Adai,1,0,1,0,500,15,15,4,60,1000,400,70,12,0,2,1
Kuzhi Paniyaram,1,0,0,0,300,12,8,3,30,800,150,45,2,0,2,1
